SppCodes,mean.change.gt,mean.change.lt,mean.change,mean.first.gt,mean.first.lt,mean.first,mean.second.gt,mean.second.lt,mean.second,sppname,SciName,sel.names
11,273.75690032307693,309.4111436060274,288.9068407168801,2170.1554980925102,2252.4065162156166,2205.104999390454,2443.912398415587,2561.8176598216437,2494.011840107334,Pacific silver fir,Abies amabilis,"Abies amabilis, Pacific silver fir"
15,23.628531185575593,26.141496572569903,24.910621542663044,1003.2513356334258,1099.322236397603,1052.2657693792798,1026.8798668190013,1125.4637329701732,1077.176390921943,white fir,Abies concolor,"Abies concolor, white fir"
17,109.87445184848485,120.755609884375,114.65969838973322,831.1237969054835,946.6619679711397,881.9344396376717,940.9982487539683,1067.4175778555148,996.594138027405,grand fir,Abies grandis,"Abies grandis, grand fir"
19,184.0884037443609,177.7352625413793,180.62404127641025,1181.9506333582706,1107.4845309304076,1141.3443313505984,1366.0390371026315,1285.219793471787,1321.9683726270086,subalpine fir,Abies lasiocarpa,"Abies lasiocarpa, subalpine fir"
20,-3.860208609090901,39.28251221306533,19.726059093131877,1217.4979486412121,1290.0666098879396,1257.1714749821429,1213.6377400321212,1329.349122101005,1276.8975340752747,California red fir,Abies magnifica,"Abies magnifica, California red fir"
22,250.88722076026488,180.32091999036146,225.85729356410255,2081.613412617881,2052.793038372289,2071.3908012401707,2332.5006333781457,2233.1139583626505,2297.2480948042735,noble fir,Abies procera,"Abies procera, noble fir"
64,19.759797866440675,27.800591949999998,22.21933488023529,393.8280887359322,390.8565612776923,392.9191509251765,413.58788660237286,418.65715322769233,415.1384858054118,western juniper,Juniperus occidentalis,"Juniperus occidentalis, western juniper"
73,105.8821975178744,90.4158544631769,97.03059209194215,677.6994337222222,701.4004130689531,691.2638371913223,783.5816312400966,791.8162675321299,788.2944292832644,western larch,Larix occidentalis,"Larix occidentalis, western larch"
81,27.974860361666657,21.08727871103896,24.79914906167664,1136.9073494080556,1140.9025404165584,1138.7494434658684,1164.8822097697223,1161.9898191275975,1163.548592527545,incense cedar,Calocedrus decurrens,"Calocedrus decurrens, incense cedar"
93,156.87866170327104,151.86866207954546,154.33903055760368,927.5444969869159,886.4895787504546,906.7332481112903,1084.423158690187,1038.3582408299999,1061.0722786688941,Engelmann spruce,Picea engelmannii,"Picea engelmannii, Engelmann spruce"
98,174.97946487741933,209.86867692391306,195.82237077532469,2263.2218213064516,2240.844601195652,2249.8536118896104,2438.201286183871,2450.713278119565,2445.675982664935,Sitka spruce,Picea sitchensis,"Picea sitchensis, Sitka spruce"
108,67.3829535593318,87.01788320633484,77.29007559583333,789.9025882600231,888.7543360852941,839.7798400166096,857.2855418193549,975.772219291629,917.069915612443,lodgepole pine,Pinus contorta,"Pinus contorta, lodgepole pine"
116,37.82026477597404,14.530393913888888,26.56609899026846,880.7565967487013,863.0604586222222,872.205442754698,918.5768615246753,877.5908525361111,898.7715417449665,Jeffrey pine,Pinus jeffreyi,"Pinus jeffreyi, Jeffrey pine"
117,17.671108891735532,-2.264427073451337,4.687157513832846,1224.4464170735537,1222.058173162832,1222.8909613853027,1242.1175259652894,1219.7937460893804,1227.5781188991355,sugar pine,Pinus lambertiana,"Pinus lambertiana, sugar pine"
119,125.98367490416668,115.38613571645568,120.43926698476821,1565.3988483131945,1430.9375275031646,1495.0515347768212,1691.382523217361,1546.3236632196204,1615.4908017615894,western white pine,Pinus monticola,"Pinus monticola, western white pine"
122,50.81802080687719,38.664462562267204,45.175297336165414,651.1490194700351,697.3853573574899,672.6158906320677,701.9670402769123,736.049819919757,717.7911879682331,ponderosa pine,Pinus ponderosa,"Pinus ponderosa, ponderosa pine"
202,102.5490100656536,128.54729066553142,115.40620158200998,1356.432813010399,1473.9767103702845,1414.5629802777717,1458.9818230760527,1602.524001035816,1529.9691818597817,Douglas fir,Pseudotsuga menziesii,"Pseudotsuga menziesii, Douglas fir"
242,201.6941012319239,219.99460267260275,207.48573391329478,1701.97482180148,1853.4084772812785,1749.8996347351156,1903.6689230334039,2073.4030799538814,1957.3853686484103,western redcedar,Thuja plicata,"Thuja plicata, western redcedar"
263,219.14043523717604,230.086597172661,223.7793081892379,2081.4773548957996,2129.3989752006078,2101.7860539230173,2300.6177901329756,2359.4855723732685,2325.5653621122556,western hemlock,Tsuga heterophylla,"Tsuga heterophylla, western hemlock"
264,205.2364772589431,204.35342142677595,204.8597891067599,1726.811569198374,1734.8600458994536,1730.2448354834498,1932.048046457317,1939.2134673262294,1935.1046245902098,mountain hemlock,Tsuga mertensiana,"Tsuga mertensiana, mountain hemlock"
312,132.97876483434342,104.34600502978722,120.33083522142856,1539.9309703895624,1605.7489134429788,1569.0046858360902,1672.9097352239057,1710.094918472766,1689.3355210575187,bigleaf maple,Acer macrophyllum,"Acer macrophyllum, bigleaf maple"
351,197.12709885240173,197.05175940784312,197.08254037627117,1934.940909240393,1959.5130191355959,1949.4737449768065,2132.0680080927946,2156.564778543439,2146.556285353078,red alder,Alnus rubra,"Alnus rubra, red alder"
361,22.382410289808924,45.768074458146955,37.95626749127659,1287.4624976522293,1434.6040721757188,1385.4525249412766,1309.8449079420382,1480.372146633866,1423.4087924325531,Pacific madrone,Arbutus menziesii,"Arbutus menziesii, Pacific madrone"
431,123.42991963518516,65.49255891333333,92.93657188684209,1715.8926604555556,1691.7903487866668,1703.2072332614034,1839.3225800907408,1757.2829077,1796.1438051482455,golden chinkapin,Chrysolepis chrysophylla,"Chrysolepis chrysophylla, golden chinkapin"
631,58.859024251162786,19.707648563799278,38.51780671527001,1862.725439050775,1851.5163232767025,1856.9017085089386,1921.584463301938,1871.2239718405017,1895.4195152242085,tanoak,Notholithocarpus densiflorus,"Notholithocarpus densiflorus, tanoak"
768,187.54069526568625,183.04389884915255,185.89280092670808,1703.3551675686274,1625.014403581356,1674.6464403931677,1890.8958628343137,1808.0583024305085,1860.5392413198758,NA,NA,NA
805,-34.105266845229686,-25.78454213777778,-30.419906492519686,1247.0783466657244,1269.6946706328888,1257.0954192889765,1212.9730798204946,1243.9101284951112,1226.6755127964566,canyon live oak,Quercus chrysolepis,"Quercus chrysolepis, canyon live oak"
807,-38.92957910833333,-42.07652228823529,-40.601392672656246,671.9135324,596.0222573720588,631.5962925414062,632.9839532916667,553.9457350838235,590.99489986875,blue oak,Quercus douglasii,"Quercus douglasii, blue oak"
815,20.97078589626169,10.942144779775285,16.416964164795925,803.460466611215,1049.6146303404494,915.2345511617347,824.4312525074766,1060.5567751202248,931.6515153265306,Oregon white oak,Quercus garryana,"Quercus garryana, Oregon white oak"
818,-49.203769689473695,-25.43622457944786,-33.61379040201208,1080.9653129707604,1177.6830885128834,1144.4059464249497,1031.7615432812865,1152.2468639334356,1110.7921560229377,California black oak,Quercus kelloggii,"Quercus kelloggii, California black oak"
839,15.480162844117647,1.0459015505882365,7.461128792156863,823.2024000308824,750.8344863105882,782.9980035196079,838.682562875,751.8803878611765,790.4591323117647,interior live oak,Quercus wislizeni,"Quercus wislizeni, interior live oak"
